ID	date	meals_served	kitchen_staff	temperature_C	humidity_percent	day_of_week	special_event	past_waste_kg	staff_experience	waste_category
0	12/19/2022	196	13	27.88727268	45.36285391	0	0	7.740586989	intermediate	dairy
1	11/21/2023	244	15	10.31787225	64.43047525	1	0	42.31177881	nan	MeAt
4	2/1/2022	148	16	27.71430012	69.04611285	1	0	41.18430513	Beginner	MeAt
5	3/19/2023	157	19	19.17390198	46.29282284	6	0	41.5434925	Beginner	MeAt
6	7/18/2022	297	10	26.37523347	79.74106395	0	0	26.52509668	Intermediate	MEAT
7	3/2/2023	241	18	16.86350635	79.2859195	3	0	11.83487776	Intermediate	dairy
8	4/18/2022	443	16	19.8886271	77.32813583	0	0	22.86265878	Beginner	Vegetables
9	12/16/2023	416	16	18.5595909	75.78650182	5	1	34.59944225	Intermediate	MeAt
10	7/7/2023	439	18	24.11102727	43.39580313	4	0	17.45914863	EXPERT	dairy
11	11/7/2023	267	7	25.41249317	89.40518256	1	0	23.06739248	EXPERT	GRAINS
12	6/8/2022	487	15	20.96518041	53.39234118	2	0	41.07579319	EXPERT	MeAt
13	4/21/2023	418	13	19.56315701	82.53067359	4	0	25.04342845	intermediate	Vegetables
15	1/25/2022	376	19	-10.37220651	54.49838057	1	0	36.25941978	EXPERT	MeAt
16	9/10/2023	372	5	30.22208654	63.6524678	6	0	49.63501382	intermediate	GRAINS
17	4/29/2023	378	12	12.32322861	68.06038438	5	0	41.14602071	nan	MeAt
18	6/3/2024	265	12	15.6852374	63.32972545	0	0	26.92454031	Beginner	MEAT
19	10/13/2023	1560	8	23.74040109	48.59999623	4	0	11.25509923	EXPERT	dairy
20	9/2/2022	283	8	18.91830133	36.07559488	4	1	7.659761939	Beginner	dairy
21	4/27/2024	138	17	31.11973591	67.67960296	5	0	21.02418883	Intermediate	Vegetables
22	9/9/2024	253	17	12.76871113	42.37304431	0	0	6.584682809	nan	dairy
23	4/8/2024	152	8	32.7347548	48.53006544	0	0	27.15630366	EXPERT	GRAINS
24	7/25/2023	1110	11	15.52006574	58.40405289	1	0	38.87818951	Beginner	Vegetables
25	3/1/2022	439	18	13.28337816	56.99053248	1	0	22.96250575	Intermediate	dairy
26	10/18/2022	353	11	10.43789977	70.64323929	1	1	17.26927913	EXPERT	MEAT
27	3/12/2022	489	8	18.01856851	73.81476883	5	0	36.51943096	EXPERT	MeAt
28	12/11/2022	464	11	12.72295855	58.58900303	6	0	23.69813284	Intermediate	Vegetables
29	7/4/2022	430	18	20.39768415	74.99104587	0	0	13.9735219	EXPERT	GRAINS
30	5/22/2022	354	15	24.86941593	56.31230931	6	0	28.56485372	intermediate	MeAt
31	1/26/2023	153	15	12.80760861	48.36824045	3	0	18.20906566	EXPERT	MeAt
32	5/7/2023	338	8	12.94122571	68.06544872	6	0	43.68558133	Intermediate	GRAINS
33	4/6/2024	358	18	11.24605069	62.44407403	5	0	43.56339866	EXPERT	GRAINS
34	4/12/2022	114	8	24.75659847	38.25142649	1	0	25.34389686	nan	MeAt
35	1/20/2024	100	15	28.90661645	30.6054364	5	0	15.80987449	Beginner	MEAT
36	7/6/2023	259	5	19.66152103	74.34159347	3	0	11.18127857	intermediate	GRAINS
37	11/3/2022	174	15	17.95278884	73.84908172	3	0	49.73367446	Intermediate	Vegetables
38	9/13/2024	470	9	26.29169797	84.9154311	4	0	29.18032236	intermediate	dairy
39	11/18/2022	262	13	19.3918063	58.00692463	4	0	34.51564909	intermediate	dairy
40	3/10/2024	218	8	22.4041596	31.85147426	6	0	34.77667305	Beginner	dairy
41	1/1/2024	272	11	16.94755243	32.85847545	0	0	30.91036382	nan	MEAT
42	11/9/2023	492	9	11.09339065	59.68051138	3	0	14.92289542	Intermediate	GRAINS
43	10/16/2023	280	18	20.60742215	76.88093044	0	1	14.55285388	Beginner	GRAINS
44	3/18/2022	317	16	24.06875716	50.4243506	4	0	46.58484722	Beginner	dairy
45	7/12/2022	382	12	24.70145945	36.9442564	1	0	5.655521964	Intermediate	Vegetables
46	3/28/2022	289	7	29.9199457	69.52950421	0	0	29.77122997	Intermediate	MeAt
47	4/4/2023	361	11	19.0736068	63.89906146	1	0	29.566559	Intermediate	MeAt
48	2/18/2022	266	9	14.39613291	72.46129958	4	0	39.71804279	intermediate	MeAt
49	7/7/2024	487	6	24.00455646	56.9450847	6	0	25.59088995	nan	GRAINS
50	1/4/2022	206	11	15.74021462	74.2841474	1	0	22.28191873	Beginner	MeAt
51	11/6/2022	439	8	28.81069407	72.653083	6	1	30.73051922	EXPERT	MEAT
52	1/14/2024	119	19	30.99909951	65.42586539	6	0	41.55467811	intermediate	dairy
53	5/23/2024	351	17	17.71746858	66.06616174	3	0	7.57896395	intermediate	dairy
54	2/3/2023	441	5	19.01931298	70.90491865	4	0	41.72355691	intermediate	MeAt
55	9/9/2023	385	15	33.57077854	57.51587661	5	0	8.089189977	nan	MEAT
56	2/19/2022	373	10	21.71348542	88.36657937	5	0	34.33553895	nan	dairy
57	7/19/2022	236	5	34.80333291	89.4757936	1	0	5.945949803	EXPERT	Vegetables
58	8/22/2023	326	6	19.28521419	33.63773556	1	0	29.0735003	Intermediate	GRAINS
59	8/27/2024	352	15	34.49456145	49.98209231	1	0	14.91435944	EXPERT	MEAT
60	6/1/2024	407	14	23.62763821	62.86708166	5	1	13.27030993	intermediate	GRAINS
62	5/13/2023	188	19	22.74310617	54.94785004	5	0	35.44900857	nan	Vegetables
63	8/27/2023	251	11	13.73094445	43.81505524	6	0	17.57503883	Beginner	dairy
64	1/11/2022	430	16	12.10245561	48.89517532	1	0	8.646737471	Beginner	MEAT
65	6/7/2024	205	10	23.72096642	61.18225577	4	0	17.58363433	Intermediate	MEAT
66	11/2/2023	352	12	21.85840275	54.16586391	3	0	42.34195691	Intermediate	Vegetables
67	7/26/2024	121	15	16.91104226	69.89967097	4	0	16.29006424	Intermediate	MeAt
68	7/17/2024	259	13	21.29242048	53.13681077	2	0	49.15317015	Intermediate	GRAINS
69	7/12/2023	479	13	25.48744379	62.90292217	2	0	19.02072828	intermediate	GRAINS
70	9/29/2023	483	11	28.65518144	40.56572828	4	0	35.33078907	EXPERT	dairy
73	4/14/2024	177	9	19.97090074	43.60364294	6	0	28.2054448	Intermediate	Vegetables
74	8/6/2023	189	9	19.67696901	73.53763202	6	0	38.72205575	Intermediate	MEAT
75	11/30/2022	294	9	10.36667643	56.47342282	2	0	23.55813772	Beginner	MEAT
77	7/30/2022	195	18	19.32121593	79.00339215	5	0	38.40320922	Intermediate	dairy
78	1/20/2022	357	13	10.48122008	81.98319086	3	0	26.44075721	nan	Vegetables
79	4/3/2023	295	11	19.46191059	37.79579547	0	0	26.85410894	EXPERT	MeAt
80	3/30/2022	312	13	32.79590087	43.21351808	2	0	19.30921481	Intermediate	MeAt
81	5/29/2024	385	14	20.44974835	57.00699159	2	0	10.58483155	intermediate	MEAT
82	12/17/2022	376	13	23.73535596	44.42294332	5	0	10.78684187	nan	GRAINS
83	8/7/2022	485	10	24.48537248	65.41713258	6	0	13.73732911	EXPERT	MEAT
84	2/18/2023	454	18	31.73149062	64.99544955	5	0	46.02766446	nan	MEAT
